id_produto,cod_artigo,des_artigo,des_categoria,des_linha,des_colecao,cod_fornecedor,des_status
31,01.01.49,SOT BS STRASS ALCA - 402454,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
32,01.01.49,SOT BS STRASS ALCA - 402454,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
33,01.01.49,SOT BS STRASS ALCA - 402454,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
34,01.27.47,PQ EMPREGADINHA 2 - 6204,EROTICA,INDEFINIDA,CONTINUO,PIMENTA QUENTE,AGRUPADO
35,01.27.48,PQ TAXISTA - 1904,EROTICA,INDEFINIDA,CONTINUO,PIMENTA QUENTE,AGRUPADO
36,01.01.24,CAL BIQ RENDA - 502368,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,SALDO
37,01.01.29,SOT PU POA RENDA - 402360,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,SALDO
38,01.01.29,SOT PU POA RENDA - 402360,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,SALDO
39,01.02.19,CAL FS RENDA - 502334,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
40,01.02.23,CAL FD POA RENDA - 502360,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
41,01.01.33,SOT PU SEMI RENDA - 402307,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,SALDO
42,01.01.50,SOT BS RENDA ALCA - 402417,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
43,01.26.27,CONJUNTO SAIA ONCA - 102428,EROTICA,EROTICA,VERAO - 2015,CLASS,SALDO
44,01.26.27,CONJUNTO SAIA ONCA - 102428,EROTICA,EROTICA,VERAO - 2015,CLASS,SALDO
45,01.26.27,CONJUNTO SAIA ONCA - 102428,EROTICA,EROTICA,VERAO - 2015,CLASS,SALDO
46,03.00.07,MEIA INFANTIL MORANGUINHO - 2030,UNDERWARE,MEIA,CONTINUO,LUPO,INATIVO
47,01.00.01,CAMISETA BASICA -C04151,UNDERWARE,BASICO,CONTINUO,TRIFIL,ATIVO
48,01.04.13,MEIA CALÇA  OPACA FIO 40 - W06345,UNDERWARE,MEIA,CONTINUO,TRIFIL,ATIVO
49,01.04.13,MEIA CALÇA  OPACA FIO 40 - W06345,UNDERWARE,MEIA,CONTINUO,TRIFIL,ATIVO
50,01.04.15,MEIA CALÇA OPACA FIO 80 - W06352,UNDERWARE,MEIA,CONTINUO,TRIFIL,ATIVO
51,01.04.07,MEIA 3/4 FIO 15 - W06109,UNDERWARE,MEIA,CONTINUO,TRIFIL,AGRUPADO
52,01.04.03,MEIA CALÇA FIO 15 - WO6394,UNDERWARE,MEIA,CONTINUO,TRIFIL,ATIVO
53,01.04.03,MEIA CALÇA FIO 15 - WO6394,UNDERWARE,MEIA,CONTINUO,TRIFIL,ATIVO
54,01.04.03,MEIA CALÇA FIO 15 - WO6394,UNDERWARE,MEIA,CONTINUO,TRIFIL,ATIVO
55,01.04.03,MEIA CALÇA FIO 15 - WO6394,UNDERWARE,MEIA,CONTINUO,TRIFIL,ATIVO
56,01.04.03,MEIA CALÇA FIO 15 - WO6394,UNDERWARE,MEIA,CONTINUO,TRIFIL,ATIVO
57,01.04.15,MEIA CALÇA OPACA FIO 80 - W06352,UNDERWARE,MEIA,CONTINUO,TRIFIL,ATIVO
58,01.04.15,MEIA CALÇA OPACA FIO 80 - W06352,UNDERWARE,MEIA,CONTINUO,TRIFIL,ATIVO
59,01.04.13,MEIA CALÇA  OPACA FIO 40 - W06345,UNDERWARE,MEIA,CONTINUO,TRIFIL,ATIVO
60,99.01.03,CAIXA ALCA PRESENTE - MEDIA,ACESSORIOS,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
61,01.12.30,SHORT DOLL REG NAVY - 013560,LINHA NOITE,INDEFINIDA,INVERNO - 2015,MENSAGEIRO DOS SONHOS,FORA DE LINHA
62,01.12.31,SHORT DOLL REG POA - 013596,LINHA NOITE,INDEFINIDA,VERAO - 2015,MENSAGEIRO DOS SONHOS,INATIVO
63,01.12.31,SHORT DOLL REG POA - 013596,LINHA NOITE,INDEFINIDA,VERAO - 2015,MENSAGEIRO DOS SONHOS,INATIVO
64,01.12.32,SHORT DOLL REG CORAÇÃO - 013587,LINHA NOITE,INDEFINIDA,INVERNO - 2015,MENSAGEIRO DOS SONHOS,INATIVO
65,01.12.32,SHORT DOLL REG CORAÇÃO - 013587,LINHA NOITE,INDEFINIDA,INVERNO - 2015,MENSAGEIRO DOS SONHOS,INATIVO
66,01.12.33,SHORT DOLL REG LULU - 013550,LINHA NOITE,INDEFINIDA,VERAO - 2015,MENSAGEIRO DOS SONHOS,INATIVO
67,01.12.33,SHORT DOLL REG LULU - 013550,LINHA NOITE,INDEFINIDA,VERAO - 2015,MENSAGEIRO DOS SONHOS,INATIVO
68,01.12.33,SHORT DOLL REG LULU - 013550,LINHA NOITE,INDEFINIDA,VERAO - 2015,MENSAGEIRO DOS SONHOS,INATIVO
69,01.08.47,BLUSA SORTIDA WSPACE - WSPVEPB,VESTUARIO,INDEFINIDA,VERAO - 2012,W-SPACE,ATIVO
70,01.08.47,BLUSA SORTIDA WSPACE - WSPVEPB,VESTUARIO,INDEFINIDA,VERAO - 2012,W-SPACE,ATIVO
71,01.08.48,BLUSA SORTIDA WSPACE - WSPVEPM,VESTUARIO,INDEFINIDA,VERAO - 2012,W-SPACE,ATIVO
72,01.08.48,BLUSA SORTIDA WSPACE - WSPVEPM,VESTUARIO,INDEFINIDA,VERAO - 2012,W-SPACE,ATIVO
73,01.08.48,BLUSA SORTIDA WSPACE - WSPVEPM,VESTUARIO,INDEFINIDA,VERAO - 2012,W-SPACE,ATIVO
74,01.08.49,BLUSA SORTIDA WSPACE - WSPVEPA,VESTUARIO,INDEFINIDA,VERAO - 2012,W-SPACE,ATIVO
75,01.08.49,BLUSA SORTIDA WSPACE - WSPVEPA,VESTUARIO,INDEFINIDA,VERAO - 2012,W-SPACE,ATIVO
76,01.08.49,BLUSA SORTIDA WSPACE - WSPVEPA,VESTUARIO,INDEFINIDA,VERAO - 2012,W-SPACE,ATIVO
77,03.00.09,MEIA INFANTIL BACKYARDIGANS - 2180,UNDERWARE,MEIA,CONTINUO,LUPO,INATIVO
78,03.08.01,CONJUNTO INFANTIL TOP/BOTTON - 211,UNDERWARE,INDEFINIDA,CONTINUO,LALA,INATIVO
79,03.08.02,CONJ INFANTIL TOP/BOTTON C/BOLSINHA-200,UNDERWARE,INDEFINIDA,CONTINUO,LALA,INATIVO
80,03.08.02,CONJ INFANTIL TOP/BOTTON C/BOLSINHA-200,UNDERWARE,INDEFINIDA,CONTINUO,LALA,INATIVO
81,03.08.02,CONJ INFANTIL TOP/BOTTON C/BOLSINHA-200,UNDERWARE,INDEFINIDA,CONTINUO,LALA,INATIVO
82,05.00.14,MEIA INFANTIL HOT WHELLS - 2285,UNDERWARE,MEIA,CONTINUO,LUPO,INATIVO
83,01.02.39,FIO EM TULE E POA -220271,UNDERWARE,CASUAL,CONTINUO,VI LINGERIE,INATIVO
84,01.02.03,FIO DUPLO - 120184,UNDERWARE,BASICO,CONTINUO,VI LINGERIE,ATIVO
85,01.02.03,FIO DUPLO - 120184,UNDERWARE,BASICO,CONTINUO,VI LINGERIE,ATIVO
86,01.09.03,ESPARTILHO EM TULE E POA-230272,EROTICA,EROTICA,CONTINUO,VI LINGERIE,INATIVO
87,01.01.23,SOT BS FULL RENDA - 402368,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,ATIVO
88,01.01.24,CAL BIQ RENDA - 502368,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
89,01.01.28,SOT PU SEMI RENDA - 402412,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,SALDO
90,01.02.33,FIO DENTAL DE RENDA - 4100,UNDERWARE,RENDA,SEMI-CONTINUO,EROSS AFRODITE,INATIVO
91,01.02.33,FIO DENTAL DE RENDA - 4100,UNDERWARE,RENDA,SEMI-CONTINUO,EROSS AFRODITE,INATIVO
92,01.02.33,FIO DENTAL DE RENDA - 4100,UNDERWARE,RENDA,SEMI-CONTINUO,EROSS AFRODITE,INATIVO
93,01.04.10,MEIA CALÇA NEWS FIO 15 -5680,UNDERWARE,MEIA,CONTINUO,LUPO,ATIVO
94,02.02.05,CUECA BOXER MASH - 170.26,UNDERWARE,MASCULINO,CONTINUO,MASH,ATIVO
95,02.02.05,CUECA BOXER MASH - 170.26,UNDERWARE,MASCULINO,CONTINUO,MASH,ATIVO
96,02.02.06,KIT CUECA SLIP -010.20,UNDERWARE,MASCULINO,CONTINUO,MASH,ATIVO
97,05.00.14,MEIA INFANTIL HOT WHELLS - 2285,UNDERWARE,MEIA,CONTINUO,LUPO,INATIVO
98,05.00.14,MEIA INFANTIL HOT WHELLS - 2285,UNDERWARE,MEIA,CONTINUO,LUPO,INATIVO
99,05.01.13,KIT CUECA BEN 10 - 195,UNDERWARE,MASCULINO,CONTINUO,LUPO,INATIVO
100,05.01.13,KIT CUECA BEN 10 - 195,UNDERWARE,MASCULINO,CONTINUO,LUPO,INATIVO
101,05.00.14,MEIA INFANTIL HOT WHELLS - 2285,UNDERWARE,MEIA,CONTINUO,LUPO,INATIVO
102,03.00.07,MEIA INFANTIL MORANGUINHO - 2030,UNDERWARE,MEIA,CONTINUO,LUPO,INATIVO
103,03.00.07,MEIA INFANTIL MORANGUINHO - 2030,UNDERWARE,MEIA,CONTINUO,LUPO,INATIVO
104,03.00.07,MEIA INFANTIL MORANGUINHO - 2030,UNDERWARE,MEIA,CONTINUO,LUPO,INATIVO
105,03.00.09,MEIA INFANTIL BACKYARDIGANS - 2180,UNDERWARE,MEIA,CONTINUO,LUPO,INATIVO
106,03.00.09,MEIA INFANTIL BACKYARDIGANS - 2180,UNDERWARE,MEIA,CONTINUO,LUPO,INATIVO
107,03.00.08,MEIA INFANTIL POLLY - 2200,UNDERWARE,MEIA,CONTINUO,LUPO,INATIVO
108,03.02.03,SOUTIEN INFANTIL CORAÇÃO - 201,UNDERWARE,INDEFINIDA,INDEFINIDA,LANGERRIL,INATIVO
109,01.19.23,BIQ PARTE INFERIOR  - SAMPRAIA REF 123,MODA PRAIA,INDEFINIDA,VERAO - 2013,SAMPRAIA,INATIVO
110,01.19.23,BIQ PARTE INFERIOR  - SAMPRAIA REF 123,MODA PRAIA,INDEFINIDA,VERAO - 2013,SAMPRAIA,INATIVO
111,01.19.48,BIQ PARTE INFERIOR  - SAMPRAIA REF121,MODA PRAIA,INDEFINIDA,VERAO - 2013,SAMPRAIA,INATIVO
112,01.19.48,BIQ PARTE INFERIOR  - SAMPRAIA REF121,MODA PRAIA,INDEFINIDA,VERAO - 2013,SAMPRAIA,INATIVO
113,01.12.28,SHORTDOLL RENDA GOLA - ALINE,LINHA NOITE,INDEFINIDA,VERAO - 2015,LU MODAS,INATIVO
114,01.12.28,SHORTDOLL RENDA GOLA - ALINE,LINHA NOITE,INDEFINIDA,VERAO - 2015,LU MODAS,INATIVO
115,01.12.28,SHORTDOLL RENDA GOLA - ALINE,LINHA NOITE,INDEFINIDA,VERAO - 2015,LU MODAS,INATIVO
116,01.12.29,SHORTDOLL REGATA LIGA - BRIGIDA,LINHA NOITE,INDEFINIDA,SEMI-CONTINUO,LU MODAS,INATIVO
117,01.12.29,SHORTDOLL REGATA LIGA - BRIGIDA,LINHA NOITE,INDEFINIDA,SEMI-CONTINUO,LU MODAS,INATIVO
118,01.01.54,SOUTIEN MULTIFUNCAO PB - 030200,UNDERWARE,BASICO,CONTINUO,LINNA LINGERIE,SALDO
119,01.02.57,CALCINHA FIO CORTE LAZER - 059650,UNDERWARE,BASICO,CONTINUO,LINNA LINGERIE,INATIVO
120,01.02.57,CALCINHA FIO CORTE LAZER - 059650,UNDERWARE,BASICO,CONTINUO,LINNA LINGERIE,INATIVO
121,01.01.54,SOUTIEN MULTIFUNCAO PB - 030200,UNDERWARE,BASICO,CONTINUO,LINNA LINGERIE,SALDO
122,01.29.30,SAIOTE LINNA - 060561,UNDERWARE,BASICO,CONTINUO,LINNA LINGERIE,INATIVO
123,01.29.30,SAIOTE LINNA - 060561,UNDERWARE,BASICO,CONTINUO,LINNA LINGERIE,INATIVO
124,01.30.31,CAMISETE BOJO LINNA - 028521,UNDERWARE,SHAPEWARE,CONTINUO,LINNA LINGERIE,INATIVO
125,01.30.31,CAMISETE BOJO LINNA - 028521,UNDERWARE,SHAPEWARE,CONTINUO,LINNA LINGERIE,INATIVO
126,01.30.31,CAMISETE BOJO LINNA - 028521,UNDERWARE,SHAPEWARE,CONTINUO,LINNA LINGERIE,INATIVO
127,01.30.31,CAMISETE BOJO LINNA - 028521,UNDERWARE,SHAPEWARE,CONTINUO,LINNA LINGERIE,INATIVO
128,01.30.31,CAMISETE BOJO LINNA - 028521,UNDERWARE,SHAPEWARE,CONTINUO,LINNA LINGERIE,INATIVO
129,01.30.31,CAMISETE BOJO LINNA - 028521,UNDERWARE,SHAPEWARE,CONTINUO,LINNA LINGERIE,INATIVO
130,01.08.51,BLUSA CETIM LISA - BRS0007,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
131,01.08.51,BLUSA CETIM LISA - BRS0007,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
132,01.01.25,SOT BS PEROLA ALCA - 402334,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,SALDO
133,01.01.25,SOT BS PEROLA ALCA - 402334,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,SALDO
134,01.01.25,SOT BS PEROLA ALCA - 402334,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
135,01.01.26,SOT BS STRASS BOJO - 402418,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
136,01.01.26,SOT BS STRASS BOJO - 402418,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
137,01.02.19,CAL FS RENDA - 502334,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
138,01.02.19,CAL FS RENDA - 502334,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
139,01.02.19,CAL FS RENDA - 502334,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
140,01.02.19,CAL FS RENDA - 502334,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
141,03.01.01,KIT CALCINHA INFANTIL VENE 3 UN,UNDERWARE,INDEFINIDA,CONTINUO,VENE,INATIVO
142,03.01.02,KIT CALCINHA JUVENIL 2 UN-1611,UNDERWARE,INDEFINIDA,CONTINUO,VENE,INATIVO
143,03.01.07,KIT CALCINHA JUVENIL VENE C/ 3UN - 1615,UNDERWARE,INDEFINIDA,CONTINUO,VENE,INATIVO
144,05.01.10,CUECA BOXER INFANTIL - 190.03,UNDERWARE,MASCULINO,CONTINUO,MASH,FORA DE LINHA
145,01.02.29,CALCINHA TAPA SEXO COM TOPE - 5766,EROTICA,EROTICA,SEMI-CONTINUO,EROSS AFRODITE,AGRUPADO
146,01.02.29,CALCINHA TAPA SEXO COM TOPE - 5766,EROTICA,EROTICA,SEMI-CONTINUO,EROSS AFRODITE,AGRUPADO
147,01.02.29,CALCINHA TAPA SEXO COM TOPE - 5766,EROTICA,EROTICA,SEMI-CONTINUO,EROSS AFRODITE,AGRUPADO
148,01.02.29,CALCINHA TAPA SEXO COM TOPE - 5766,EROTICA,EROTICA,SEMI-CONTINUO,EROSS AFRODITE,AGRUPADO
149,01.02.29,CALCINHA TAPA SEXO COM TOPE - 5766,EROTICA,EROTICA,SEMI-CONTINUO,EROSS AFRODITE,AGRUPADO
150,01.02.29,CALCINHA TAPA SEXO COM TOPE - 5766,EROTICA,EROTICA,SEMI-CONTINUO,EROSS AFRODITE,AGRUPADO
151,02.02.14,CUECA SALDO - SLD0059,UNDERWARE,MASCULINO,INDEFINIDA,SALDOS,INATIVO
152,01.01.28,SOT PU SEMI RENDA - 402412,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,SALDO
153,01.01.28,SOT PU SEMI RENDA - 402412,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,SALDO
154,01.01.42,SOT PU NADADOR JOIA - 402431,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,SALDO
155,01.01.42,SOT PU NADADOR JOIA - 402431,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,SALDO
156,01.01.42,SOT PU NADADOR JOIA - 402431,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,SALDO
157,01.01.42,SOT PU NADADOR JOIA - 402431,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,SALDO
158,01.01.42,SOT PU NADADOR JOIA - 402431,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
159,01.01.42,SOT PU NADADOR JOIA - 402431,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
160,01.01.42,SOT PU NADADOR JOIA - 402431,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
161,01.02.21,CAL BIQ MAIOR RENDA - 502409,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
162,01.02.21,CAL BIQ MAIOR RENDA - 502409,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
163,01.02.21,CAL BIQ MAIOR RENDA - 502409,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
164,01.02.21,CAL BIQ MAIOR RENDA - 502409,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
165,01.02.22,CAL FD RENDA - 502412,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,ATIVO
166,01.02.22,CAL FD RENDA - 502412,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,ATIVO
167,01.02.22,CAL FD RENDA - 502412,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,SALDO
168,01.02.22,CAL FD RENDA - 502412,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,SALDO
169,01.02.53,CALECON RENDA PA - 502443,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
170,01.02.53,CALECON RENDA PA - 502443,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
171,01.02.53,CALECON RENDA PA - 502443,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
172,01.06.11,CALCINHA MODELADORA - 99900,UNDERWARE,INDEFINIDA,INDEFINIDA,LANGERRIL,INATIVO
173,01.02.54,CALCINHA GESTANTE - 95115,UNDERWARE,INDEFINIDA,INDEFINIDA,LANGERRIL,INATIVO
174,01.02.54,CALCINHA GESTANTE - 95115,UNDERWARE,INDEFINIDA,INDEFINIDA,LANGERRIL,INATIVO
175,01.10.03,CALÇA JEANS SAWARY - 228002,VESTUARIO,INDEFINIDA,INVERNO - 2013,SAWARY,SALDO
176,01.19.60,CALCA BIQ JOIA LISA - SAM001,MODA PRAIA,BASICO,VERAO - 2017,SAMPRAIA,INATIVO
177,01.10.07,CALÇA JEANS SAWARY - 228775,VESTUARIO,INDEFINIDA,INVERNO - 2013,SAWARY,FORA DE LINHA
178,01.10.07,CALÇA JEANS SAWARY - 228775,VESTUARIO,INDEFINIDA,INVERNO - 2013,SAWARY,FORA DE LINHA
179,01.10.03,CALÇA JEANS SAWARY - 228002,VESTUARIO,INDEFINIDA,INVERNO - 2013,SAWARY,SALDO
180,01.10.03,CALÇA JEANS SAWARY - 228002,VESTUARIO,INDEFINIDA,INVERNO - 2013,SAWARY,SALDO
181,01.10.03,CALÇA JEANS SAWARY - 228002,VESTUARIO,INDEFINIDA,INVERNO - 2013,SAWARY,SALDO
182,01.10.06,CALÇA JEANS SAWARY - 228260,VESTUARIO,INDEFINIDA,INVERNO - 2013,SAWARY,FORA DE LINHA
183,01.10.04,CALÇA JEANS SAWARY - 228356,VESTUARIO,INDEFINIDA,INVERNO - 2013,SAWARY,FORA DE LINHA
184,01.10.08,CALÇA JEANS SAWARY - 228624,VESTUARIO,INDEFINIDA,INVERNO - 2013,SAWARY,FORA DE LINHA
185,01.10.08,CALÇA JEANS SAWARY - 228624,VESTUARIO,INDEFINIDA,INVERNO - 2013,SAWARY,FORA DE LINHA
186,01.10.05,CALÇA JEANS SAWARY - 228661,VESTUARIO,INDEFINIDA,INVERNO - 2013,SAWARY,FORA DE LINHA
187,01.10.07,CALÇA JEANS SAWARY - 228775,VESTUARIO,INDEFINIDA,INVERNO - 2013,SAWARY,FORA DE LINHA
188,01.10.07,CALÇA JEANS SAWARY - 228775,VESTUARIO,INDEFINIDA,INVERNO - 2013,SAWARY,FORA DE LINHA
189,01.10.06,CALÇA JEANS SAWARY - 228260,VESTUARIO,INDEFINIDA,INVERNO - 2013,SAWARY,FORA DE LINHA
190,01.27.30,PQ MULHER MARAVILHA - 2104,EROTICA,INDEFINIDA,CONTINUO,PIMENTA QUENTE,AGRUPADO
191,01.27.32,PQ POLICIAL 2 - 2404,EROTICA,INDEFINIDA,CONTINUO,PIMENTA QUENTE,AGRUPADO
192,01.27.33,PQ EXECUTIVA - 704,EROTICA,INDEFINIDA,CONTINUO,PIMENTA QUENTE,AGRUPADO
193,01.27.36,PQ GATINHA - 3404,EROTICA,INDEFINIDA,CONTINUO,PIMENTA QUENTE,AGRUPADO
194,01.27.38,PQ DETENTA 2 - 6004,EROTICA,INDEFINIDA,CONTINUO,PIMENTA QUENTE,AGRUPADO
195,01.27.39,PQ POLICIAL 4 - 6404,EROTICA,INDEFINIDA,CONTINUO,PIMENTA QUENTE,AGRUPADO
196,01.27.41,PQ MILITAR - 2704,EROTICA,INDEFINIDA,CONTINUO,PIMENTA QUENTE,AGRUPADO
197,01.27.43,PQ STOCK CAR 2 - 6704,EROTICA,INDEFINIDA,CONTINUO,PIMENTA QUENTE,AGRUPADO
198,01.27.44,PQ NOIVINHA 3 - 104,EROTICA,INDEFINIDA,CONTINUO,PIMENTA QUENTE,AGRUPADO
199,01.17.42,BIQ COMPLETO - JACKLINNE REF 994212,MODA PRAIA,BASICO,VERAO - 2013,JACKLINNE,INATIVO
200,01.17.42,BIQ COMPLETO - JACKLINNE REF 994212,MODA PRAIA,BASICO,VERAO - 2013,JACKLINNE,INATIVO
201,01.17.44,BIQ COMPLETO - JACKELINE REF 993874,MODA PRAIA,BASICO,VERAO - 2013,JACKLINNE,INATIVO
202,01.17.44,BIQ COMPLETO - JACKELINE REF 993874,MODA PRAIA,BASICO,VERAO - 2013,JACKLINNE,INATIVO
203,01.01.17,SOUTIEN BOJO C - 110243,UNDERWARE,BASICO,CONTINUO,VI LINGERIE,SALDO
204,01.01.17,SOUTIEN BOJO C - 110243,UNDERWARE,BASICO,CONTINUO,VI LINGERIE,SALDO
205,01.02.29,CALCINHA TAPA SEXO COM TOPE - 5766,EROTICA,EROTICA,SEMI-CONTINUO,EROSS AFRODITE,AGRUPADO
206,01.02.29,CALCINHA TAPA SEXO COM TOPE - 5766,EROTICA,EROTICA,SEMI-CONTINUO,EROSS AFRODITE,AGRUPADO
207,01.02.30,CALCINHA SEXY LATERAL - 2340,EROTICA,EROTICA,SEMI-CONTINUO,EROSS AFRODITE,AGRUPADO
208,01.02.30,CALCINHA SEXY LATERAL - 2340,EROTICA,EROTICA,SEMI-CONTINUO,EROSS AFRODITE,AGRUPADO
209,01.02.30,CALCINHA SEXY LATERAL - 2340,EROTICA,EROTICA,SEMI-CONTINUO,EROSS AFRODITE,AGRUPADO
