alert_date,product_id,category,regime,supplier,coverage_days,quantity,urgency,unit_cost,total_cost,substitutes_count,product_name,product_code,has_pending_order,pending_order_date,pending_expected_date,days_until_expected_arrival,risk_score
2019-12-08,7884,UNDERWARE,commodity,VI LINGERIE,21.0,84,MEDIUM,19.89,1670.76,5,SOUTIEN BOJO D RENDA - 210410,01.70.13,True,2019-12-08,2019-12-28,20,MEDIUM
2019-12-08,33949,MODA PRAIA,seasonal,HERMES BALI,19.0,192,MEDIUM,0.0,0.0,0,CALCA ASA DELTA - HB1916,C2470,True,2019-12-08,2020-01-12,35,HIGH
2019-12-09,47,UNDERWARE,commodity,TRIFIL,15.0,96,MEDIUM,10.07,966.72,5,CAMISETA BASICA -C04151,01.00.01,True,2019-12-09,2019-12-29,20,HIGH
2019-12-09,3744,UNDERWARE,commodity,CLASS,24.0,84,MEDIUM,5.48,460.32,5,CAL FD RENDA - 502412,01.02.22,True,2019-12-09,2019-12-29,20,MEDIUM
2019-12-11,16282,UNDERWARE,commodity,TRIFIL,23.0,84,MEDIUM,0.0,0.0,5,CALCINHA TRIFIL PROMO - TRF0001,C767,True,2019-12-11,2019-12-31,20,MEDIUM
2019-12-12,4353,MODA PRAIA,commodity,RIVANNA,16.0,96,MEDIUM,20.93,2009.28,5,CALCA BOMBOM ALTA - 1709,01.19.72,True,2019-12-12,2020-01-06,25,HIGH
2019-12-13,18197,UNDERWARE,commodity,JESCRI,20.0,96,MEDIUM,0.0,0.0,0,CALCA ALTA RENDA - JE0001,C1911,True,2019-12-13,2020-01-17,35,HIGH
2019-12-13,33950,MODA PRAIA,seasonal,HERMES BALI,19.0,192,MEDIUM,0.0,0.0,0,CALCA ASA DELTA - HB1916,C2470,True,2019-12-13,2020-01-17,35,HIGH
2019-12-14,21072,FITNESS,commodity,FOREVER FITNESS,17.0,96,MEDIUM,0.0,0.0,0,TOP ESTAMPADO BASICO - 226,C1924,True,2019-12-14,2020-01-13,30,HIGH
2019-12-14,22950,UNDERWARE,commodity,FEMINIS,20.0,96,MEDIUM,0.0,0.0,5,CAL STRING RENDA - C109,C1806,True,2019-12-14,2020-01-08,25,HIGH
2019-12-14,22953,UNDERWARE,commodity,FEMINIS,24.0,84,MEDIUM,0.0,0.0,5,CAL STRING RENDA - C109,C1806,True,2019-12-14,2020-01-08,25,HIGH
2019-12-15,15551,MODA PRAIA,commodity,CLASS,20.0,96,MEDIUM,0.0,0.0,0,TOP CORT REM REL PTA MED - 704B2057,C948,True,2019-12-15,2020-01-04,20,MEDIUM
2019-12-15,19285,UNDERWARE,commodity,FEMINIS,18.0,96,MEDIUM,0.0,0.0,5,CAL FD RENDA - C122,C1807,True,2019-12-15,2020-01-09,25,HIGH
2019-12-15,21982,FITNESS,commodity,FOREVER FITNESS,19.0,96,MEDIUM,0.0,0.0,0,BERMUDA MEIA COXA ESTAMPADA - F201,C669,True,2019-12-15,2020-01-14,30,HIGH
2019-12-15,21992,FITNESS,commodity,FOREVER FITNESS,19.0,96,MEDIUM,0.0,0.0,0,BERMUDA MEIA COXA ESTAMPADA - F201,C669,True,2019-12-15,2020-01-14,30,HIGH
2019-12-15,29944,UNDERWARE,commodity,CLASS,15.0,96,MEDIUM,5.48,526.08,5,CAL FD RENDA - 502412,01.02.22,True,2019-12-15,2020-01-04,20,HIGH
2019-12-17,33956,FITNESS,commodity,FOREVER FITNESS,23.0,84,MEDIUM,0.0,0.0,0,TOP ESTAMPADO BASICO - 226,C1924,True,2019-12-17,2020-01-16,30,HIGH
2019-12-19,6575,UNDERWARE,commodity,MASH,22.0,84,MEDIUM,11.86,996.24,4,KIT SLIP 3 UN - 010.04,02.02.07,True,2019-12-19,2020-01-18,30,HIGH
2019-12-19,8126,MODA PRAIA,commodity,CLASS,30.0,84,MEDIUM,13.16,1105.44,5,CALCA BOMBOM LISA - 705B0619,01.19.92,True,2019-12-19,2020-01-08,20,LOW
2019-12-20,13138,UNDERWARE,commodity,VI LINGERIE,15.0,96,MEDIUM,12.9,1238.4,5,SOUTIEN PUSH UP - 110571,01.70.91,True,2019-12-20,2020-01-09,20,HIGH
2019-12-20,21989,FITNESS,commodity,FOREVER FITNESS,18.0,96,MEDIUM,0.0,0.0,0,BERMUDA MEIA COXA ESTAMPADA - F201,C669,True,2019-12-20,2020-01-19,30,HIGH
2019-12-20,22945,UNDERWARE,commodity,FEMINIS,24.0,84,MEDIUM,0.0,0.0,5,CAL STRING RENDA - C109,C1806,True,2019-12-20,2020-01-14,25,HIGH
2019-12-21,33946,MODA PRAIA,seasonal,HERMES BALI,29.0,180,MEDIUM,0.0,0.0,0,CALCA ASA DELTA - HB1908,C2469,True,2019-12-21,2020-01-25,35,HIGH
2019-12-22,12761,MODA PRAIA,commodity,CLASS,30.0,84,MEDIUM,0.0,0.0,5,TOP DRAPEADO LISO - 704B6005,C191,True,2019-12-22,2020-01-11,20,LOW
2019-12-24,8344,UNDERWARE,commodity,ZEE RUCCI,29.5,156,MEDIUM,4.33,675.48,3,CUECA BOXER GOLD BE-ZR0017,02.02.49,True,2019-12-24,2020-01-13,20,LOW
2019-12-24,14653,UNDERWARE,commodity,VI LINGERIE,18.0,96,MEDIUM,0.0,0.0,5,SOUTIEN TQC ALÇA SILICONE - 110509,01.70.85,True,2019-12-24,2020-01-13,20,HIGH
2019-12-24,15242,UNDERWARE,commodity,DEMILLUS,15.0,96,MEDIUM,0.0,0.0,5,SOUTIEN OLIMPO - 61096,C1771,True,2019-12-24,2020-01-23,30,HIGH
2019-12-24,35170,MODA PRAIA,seasonal,CLASS,29.0,180,MEDIUM,0.0,0.0,0,CALCA FIO AMAR COR EST - ARC4062E,C184,True,2019-12-24,2020-01-13,20,LOW
2019-12-26,16057,MODA PRAIA,seasonal,CLASS,19.0,192,MEDIUM,0.0,0.0,0,CALCA BIQ FRUFRU - 705B0402,C177,True,2019-12-26,2020-01-15,20,HIGH
2019-12-26,19266,UNDERWARE,commodity,FEMINIS,17.0,96,MEDIUM,0.0,0.0,5,CAL STRING RENDA - C109,C1806,True,2019-12-26,2020-01-20,25,HIGH
2019-12-27,17026,MODA PRAIA,commodity,CLASS,21.0,84,MEDIUM,0.0,0.0,5,TOP CORTININHA PADRAO LISO - 704B6033,C945,True,2019-12-27,2020-01-16,20,MEDIUM
2019-12-28,7884,UNDERWARE,commodity,VI LINGERIE,21.0,84,MEDIUM,19.89,1670.76,5,SOUTIEN BOJO D RENDA - 210410,01.70.13,True,2019-12-28,2020-01-17,20,MEDIUM
2019-12-28,15311,UNDERWARE,commodity,ZEE RUCCI,15.0,96,MEDIUM,0.0,0.0,0,CALCINHA JACKARD RENDA - ZR0065,C1729,True,2019-12-28,2020-01-17,20,HIGH
2019-12-28,22947,UNDERWARE,commodity,FEMINIS,21.0,84,MEDIUM,0.0,0.0,5,CAL STRING RENDA - C109,C1806,True,2019-12-28,2020-01-22,25,HIGH
2019-12-29,3744,UNDERWARE,commodity,CLASS,24.0,84,MEDIUM,5.48,460.32,5,CAL FD RENDA - 502412,01.02.22,True,2019-12-29,2020-01-18,20,MEDIUM
2019-12-29,18006,FITNESS,commodity,FOREVER FITNESS,29.0,84,MEDIUM,0.0,0.0,5,CALCA BASICA ESTAMPADA - 75,C40,True,2019-12-29,2020-01-28,30,HIGH
2019-12-29,24820,UNDERWARE,commodity,FINA ESTAMPA,16.0,96,MEDIUM,0.0,0.0,5,CALCINHA FIO DUPLO LISA - 946,C1887,True,2019-12-29,2020-02-02,35,HIGH
2019-12-30,47,UNDERWARE,commodity,TRIFIL,15.0,96,MEDIUM,10.07,966.72,5,CAMISETA BASICA -C04151,01.00.01,True,2019-12-30,2020-01-19,20,HIGH
2019-12-30,14926,UNDERWARE,commodity,FEMINIS,15.0,96,MEDIUM,0.0,0.0,5,CAL FD RENDA - C122,C1807,True,2019-12-30,2020-01-24,25,HIGH
2019-12-30,17982,FITNESS,commodity,FOREVER FITNESS,23.0,84,MEDIUM,0.0,0.0,0,CALCA BASICA ESTAMPADA - 75,C40,True,2019-12-30,2020-01-29,30,HIGH
2019-12-31,19269,UNDERWARE,commodity,FEMINIS,23.0,84,MEDIUM,0.0,0.0,5,CAL STRING RENDA - C109,C1806,True,2019-12-31,2020-01-25,25,HIGH
2019-12-31,21100,FITNESS,commodity,FOREVER FITNESS,22.0,84,MEDIUM,0.0,0.0,0,TOP ESTAMPADO BASICO - 226,C1924,True,2019-12-31,2020-01-30,30,HIGH
2020-01-01,17978,FITNESS,commodity,FOREVER FITNESS,27.0,84,MEDIUM,0.0,0.0,0,CALCA BASICA ESTAMPADA - 75,C40,True,2020-01-01,2020-01-31,30,HIGH
2020-01-01,21950,MODA PRAIA,commodity,LAMAR,15.0,96,MEDIUM,0.0,0.0,2,MICRO CANGA - LM0177,C1018,True,2020-01-01,2020-02-05,35,HIGH
2020-01-01,22944,UNDERWARE,commodity,FEMINIS,22.0,84,MEDIUM,0.0,0.0,5,CAL STRING RENDA - C109,C1806,True,2020-01-01,2020-01-26,25,HIGH
2020-01-01,26731,MODA PRAIA,commodity,CLASS,30.0,84,MEDIUM,0.0,0.0,0,TOP TG PONTA BAIXA EST - 6014,C947,True,2020-01-01,2020-01-21,20,LOW
2020-01-03,16282,UNDERWARE,commodity,TRIFIL,23.0,84,MEDIUM,0.0,0.0,5,CALCINHA TRIFIL PROMO - TRF0001,C767,True,2020-01-03,2020-01-23,20,MEDIUM
2020-01-03,20109,MODA PRAIA,seasonal,CLASS,24.0,180,MEDIUM,0.0,0.0,5,TOP CORT REM PONTA ALTA - AR4062PA,C190,True,2020-01-03,2020-01-23,20,MEDIUM
2020-01-03,21972,FITNESS,commodity,FOREVER FITNESS,30.0,84,MEDIUM,0.0,0.0,0,BERMUDA MEIA COXA ESTAMPADA - F201,C669,True,2020-01-03,2020-02-02,30,LOW
2020-01-04,15551,MODA PRAIA,commodity,CLASS,20.0,96,MEDIUM,0.0,0.0,0,TOP CORT REM REL PTA MED - 704B2057,C948,True,2020-01-04,2020-01-24,20,MEDIUM
2020-01-04,21966,FITNESS,commodity,FOREVER FITNESS,16.0,96,MEDIUM,0.0,0.0,0,BERMUDA MEIA COXA ESTAMPADA - F201,C669,True,2020-01-04,2020-02-03,30,HIGH
2020-01-05,21090,FITNESS,commodity,FOREVER FITNESS,28.0,84,MEDIUM,0.0,0.0,0,TOP ESTAMPADO BASICO - 226,C1924,True,2020-01-05,2020-02-04,30,HIGH
2020-01-06,15307,UNDERWARE,commodity,ZEE RUCCI,15.0,96,MEDIUM,0.0,0.0,5,CALCINHA JACKARD RENDA - ZR0065,C1729,True,2020-01-06,2020-01-26,20,HIGH
2020-01-07,4353,MODA PRAIA,commodity,RIVANNA,15.0,96,MEDIUM,20.93,2009.28,5,CALCA BOMBOM ALTA - 1709,01.19.72,True,2020-01-07,2020-02-01,25,HIGH
2020-01-08,22953,UNDERWARE,commodity,FEMINIS,23.0,84,MEDIUM,0.0,0.0,5,CAL STRING RENDA - C109,C1806,True,2020-01-08,2020-02-02,25,HIGH
2020-01-09,8126,MODA PRAIA,commodity,CLASS,30.0,84,MEDIUM,13.16,1105.44,5,CALCA BOMBOM LISA - 705B0619,01.19.92,True,2020-01-09,2020-01-29,20,LOW
2020-01-09,17988,FITNESS,commodity,FOREVER FITNESS,23.0,84,MEDIUM,0.0,0.0,0,CALCA BASICA ESTAMPADA - 75,C40,True,2020-01-09,2020-02-08,30,HIGH
2020-01-09,19285,UNDERWARE,commodity,FEMINIS,18.0,96,MEDIUM,0.0,0.0,5,CAL FD RENDA - C122,C1807,True,2020-01-09,2020-02-03,25,HIGH
2020-01-09,21960,FITNESS,commodity,FOREVER FITNESS,15.0,96,MEDIUM,0.0,0.0,0,BERMUDA MEIA COXA ESTAMPADA - F201,C669,True,2020-01-09,2020-02-08,30,HIGH
2020-01-09,33948,MODA PRAIA,seasonal,HERMES BALI,18.0,192,MEDIUM,0.0,0.0,0,CALCA ASA DELTA - HB1916,C2470,True,2020-01-09,2020-02-13,35,HIGH
2020-01-11,22950,UNDERWARE,commodity,FEMINIS,18.0,96,MEDIUM,0.0,0.0,5,CAL STRING RENDA - C109,C1806,True,2020-01-11,2020-02-05,25,HIGH
2020-01-11,27939,MODA PRAIA,seasonal,CLASS,18.0,192,MEDIUM,0.0,0.0,0,CALCA BIQ FRUFRU - 705B0402,C177,True,2020-01-11,2020-01-31,20,HIGH
2020-01-11,33944,MODA PRAIA,seasonal,HERMES BALI,27.0,180,MEDIUM,0.0,0.0,0,CALCA ASA DELTA - HB1908,C2469,True,2020-01-11,2020-02-15,35,HIGH
2020-01-12,12595,MODA PRAIA,commodity,CLASS,18.0,96,MEDIUM,11.65,1118.4,5,CALCA FIO AMAR LISO - 705B0628,01.19.97,True,2020-01-12,2020-02-01,20,HIGH
2020-01-12,22952,UNDERWARE,commodity,FEMINIS,24.0,84,MEDIUM,0.0,0.0,5,CAL STRING RENDA - C109,C1806,True,2020-01-12,2020-02-06,25,HIGH
2020-01-12,29027,UNDERWARE,commodity,FINA ESTAMPA,30.0,84,MEDIUM,0.0,0.0,5,SOUTIEN BASE - 965S,C1878,True,2020-01-12,2020-02-16,35,LOW
2020-01-12,33949,MODA PRAIA,seasonal,HERMES BALI,17.0,192,MEDIUM,0.0,0.0,0,CALCA ASA DELTA - HB1916,C2470,True,2020-01-12,2020-02-16,35,HIGH
2020-01-14,17998,FITNESS,commodity,FOREVER FITNESS,17.0,96,MEDIUM,0.0,0.0,0,CALCA BASICA ESTAMPADA - 75,C40,True,2020-01-14,2020-02-13,30,HIGH
2020-01-14,21982,FITNESS,commodity,FOREVER FITNESS,19.0,96,MEDIUM,0.0,0.0,0,BERMUDA MEIA COXA ESTAMPADA - F201,C669,True,2020-01-14,2020-02-13,30,HIGH
2020-01-14,22945,UNDERWARE,commodity,FEMINIS,23.0,84,MEDIUM,0.0,0.0,5,CAL STRING RENDA - C109,C1806,True,2020-01-14,2020-02-08,25,HIGH
2020-01-15,21992,FITNESS,commodity,FOREVER FITNESS,19.0,96,MEDIUM,0.0,0.0,0,BERMUDA MEIA COXA ESTAMPADA - F201,C669,True,2020-01-15,2020-02-14,30,HIGH
2020-01-16,16057,MODA PRAIA,seasonal,CLASS,17.0,192,MEDIUM,0.0,0.0,0,CALCA BIQ FRUFRU - 705B0402,C177,True,2020-01-16,2020-02-05,20,HIGH
2020-01-17,18197,UNDERWARE,commodity,JESCRI,20.0,96,MEDIUM,0.0,0.0,0,CALCA ALTA RENDA - JE0001,C1911,True,2020-01-17,2020-02-21,35,HIGH
2020-01-17,21072,FITNESS,commodity,FOREVER FITNESS,17.0,96,MEDIUM,0.0,0.0,0,TOP ESTAMPADO BASICO - 226,C1924,True,2020-01-17,2020-02-16,30,HIGH
2020-01-18,33950,MODA PRAIA,seasonal,HERMES BALI,17.0,192,MEDIUM,0.0,0.0,0,CALCA ASA DELTA - HB1916,C2470,True,2020-01-18,2020-02-22,35,HIGH
2020-01-18,33956,FITNESS,commodity,FOREVER FITNESS,22.0,84,MEDIUM,0.0,0.0,0,TOP ESTAMPADO BASICO - 226,C1924,True,2020-01-18,2020-02-17,30,HIGH
2020-01-19,21989,FITNESS,commodity,FOREVER FITNESS,18.0,96,MEDIUM,0.0,0.0,0,BERMUDA MEIA COXA ESTAMPADA - F201,C669,True,2020-01-19,2020-02-18,30,HIGH
2020-01-21,6575,UNDERWARE,commodity,MASH,22.0,84,MEDIUM,11.86,996.24,4,KIT SLIP 3 UN - 010.04,02.02.07,True,2020-01-21,2020-02-20,30,HIGH
2020-01-22,15273,MODA PRAIA,seasonal,CLASS,16.0,192,MEDIUM,0.0,0.0,0,CALCA FIO AMAR COR REL - 705B0379,01.19.112,True,2020-01-22,2020-02-11,20,HIGH
2020-01-22,22947,UNDERWARE,commodity,FEMINIS,20.0,96,MEDIUM,0.0,0.0,5,CAL STRING RENDA - C109,C1806,True,2020-01-22,2020-02-16,25,HIGH
2020-01-23,15242,UNDERWARE,commodity,DEMILLUS,15.0,96,MEDIUM,0.0,0.0,5,SOUTIEN OLIMPO - 61096,C1771,True,2020-01-23,2020-02-22,30,HIGH
2020-01-23,20109,MODA PRAIA,seasonal,CLASS,24.0,180,MEDIUM,0.0,0.0,5,TOP CORT REM PONTA ALTA - AR4062PA,C190,True,2020-01-23,2020-02-12,20,MEDIUM
2020-01-23,26731,MODA PRAIA,commodity,CLASS,29.0,84,MEDIUM,0.0,0.0,0,TOP TG PONTA BAIXA EST - 6014,C947,True,2020-01-23,2020-02-12,20,LOW
2020-01-24,29052,UNDERWARE,commodity,FINA ESTAMPA,21.0,84,MEDIUM,0.0,0.0,5,CALCINHA FIO DUPLO RENDA - 945,C1881,True,2020-01-24,2020-02-28,35,HIGH
2020-01-26,33946,MODA PRAIA,seasonal,HERMES BALI,28.0,180,MEDIUM,0.0,0.0,0,CALCA ASA DELTA - HB1908,C2469,True,2020-01-26,2020-03-01,35,HIGH
2020-01-27,15307,UNDERWARE,commodity,ZEE RUCCI,15.0,96,MEDIUM,0.0,0.0,5,CALCINHA JACKARD RENDA - ZR0065,C1729,True,2020-01-27,2020-02-16,20,HIGH
2020-01-28,18006,FITNESS,commodity,FOREVER FITNESS,28.0,84,MEDIUM,0.0,0.0,5,CALCA BASICA ESTAMPADA - 75,C40,True,2020-01-28,2020-02-27,30,HIGH
2020-01-28,21094,FITNESS,commodity,FOREVER FITNESS,23.0,84,MEDIUM,0.0,0.0,0,TOP ESTAMPADO BASICO - 226,C1924,True,2020-01-28,2020-02-27,30,HIGH
2020-01-28,35182,MODA PRAIA,commodity,CLASS,30.0,84,MEDIUM,0.0,0.0,0,MAIO ENGANA RIPPLE - AR1807,C958,True,2020-01-28,2020-02-17,20,LOW
2020-01-30,17982,FITNESS,commodity,FOREVER FITNESS,23.0,84,MEDIUM,0.0,0.0,0,CALCA BASICA ESTAMPADA - 75,C40,True,2020-01-30,2020-02-29,30,HIGH
2020-02-01,12595,MODA PRAIA,commodity,CLASS,18.0,96,MEDIUM,11.65,1118.4,5,CALCA FIO AMAR LISO - 705B0628,01.19.97,True,2020-02-01,2020-02-21,20,HIGH
2020-02-01,27939,MODA PRAIA,seasonal,CLASS,18.0,192,MEDIUM,0.0,0.0,0,CALCA BIQ FRUFRU - 705B0402,C177,True,2020-02-01,2020-02-21,20,HIGH
2020-02-02,24820,UNDERWARE,commodity,FINA ESTAMPA,15.0,96,MEDIUM,0.0,0.0,5,CALCINHA FIO DUPLO LISA - 946,C1887,True,2020-02-02,2020-03-08,35,HIGH
2020-02-03,21966,FITNESS,commodity,FOREVER FITNESS,16.0,96,MEDIUM,0.0,0.0,0,BERMUDA MEIA COXA ESTAMPADA - F201,C669,True,2020-02-03,2020-03-04,30,HIGH
2020-02-03,21972,FITNESS,commodity,FOREVER FITNESS,30.0,84,MEDIUM,0.0,0.0,0,BERMUDA MEIA COXA ESTAMPADA - F201,C669,True,2020-02-03,2020-03-04,30,LOW
2020-02-04,21988,FITNESS,commodity,FOREVER FITNESS,19.0,96,MEDIUM,0.0,0.0,5,BERMUDA MEIA COXA ESTAMPADA - F201,C669,True,2020-02-04,2020-03-05,30,HIGH
2020-02-06,15274,MODA PRAIA,seasonal,CLASS,15.0,192,MEDIUM,0.0,0.0,0,CALCA FIO AMAR COR REL - 705B0379,01.19.112,True,2020-02-06,2020-02-26,20,HIGH
2020-02-06,22952,UNDERWARE,commodity,FEMINIS,20.0,96,MEDIUM,0.0,0.0,5,CAL STRING RENDA - C109,C1806,True,2020-02-06,2020-03-02,25,HIGH
2020-02-07,16116,MODA PRAIA,commodity,RIVANNA,15.0,96,MEDIUM,0.0,0.0,5,TOP CORTINA DUPLA FACE - 2162,C1025,True,2020-02-07,2020-03-03,25,HIGH
2020-02-09,21960,FITNESS,commodity,FOREVER FITNESS,15.0,96,MEDIUM,0.0,0.0,0,BERMUDA MEIA COXA ESTAMPADA - F201,C669,True,2020-02-09,2020-03-10,30,HIGH
2020-02-10,17984,FITNESS,commodity,FOREVER FITNESS,26.0,84,MEDIUM,0.0,0.0,0,CALCA BASICA ESTAMPADA - 75,C40,True,2020-02-10,2020-03-11,30,HIGH
2020-02-11,17988,FITNESS,commodity,FOREVER FITNESS,23.0,84,MEDIUM,0.0,0.0,0,CALCA BASICA ESTAMPADA - 75,C40,True,2020-02-11,2020-03-12,30,HIGH
2020-02-12,15273,MODA PRAIA,seasonal,CLASS,16.0,192,MEDIUM,0.0,0.0,0,CALCA FIO AMAR COR REL - 705B0379,01.19.112,True,2020-02-12,2020-03-03,20,HIGH
2020-02-13,17998,FITNESS,commodity,FOREVER FITNESS,16.0,96,MEDIUM,0.0,0.0,0,CALCA BASICA ESTAMPADA - 75,C40,True,2020-02-13,2020-03-14,30,HIGH
2020-02-16,29027,UNDERWARE,commodity,FINA ESTAMPA,28.0,84,MEDIUM,0.0,0.0,5,SOUTIEN BASE - 965S,C1878,True,2020-02-16,2020-03-22,35,HIGH
2020-02-19,35182,MODA PRAIA,commodity,CLASS,30.0,84,MEDIUM,0.0,0.0,0,MAIO ENGANA RIPPLE - AR1807,C958,True,2020-02-19,2020-03-10,20,LOW
2020-02-20,17983,FITNESS,commodity,FOREVER FITNESS,22.0,84,MEDIUM,0.0,0.0,0,CALCA BASICA ESTAMPADA - 75,C40,True,2020-02-20,2020-03-21,30,HIGH
2020-02-20,18007,FITNESS,commodity,FOREVER FITNESS,29.0,84,MEDIUM,0.0,0.0,0,CALCA BASICA ESTAMPADA - 75,C40,True,2020-02-20,2020-03-21,30,HIGH
2020-02-24,33954,FITNESS,commodity,FOREVER FITNESS,23.0,84,MEDIUM,0.0,0.0,0,TOP ESTAMPADO BASICO - 226,C1924,True,2020-02-24,2020-03-25,30,HIGH
2020-02-25,30880,EROTICA,commodity,SEX SHOP,15.0,96,MEDIUM,0.33,31.68,0,RASPADINHA - SS0038,01.36.37,True,2020-02-25,2020-03-31,35,HIGH
2020-02-27,21094,FITNESS,commodity,FOREVER FITNESS,23.0,84,MEDIUM,0.0,0.0,0,TOP ESTAMPADO BASICO - 226,C1924,True,2020-02-27,2020-03-28,30,HIGH
2020-03-01,29052,UNDERWARE,commodity,FINA ESTAMPA,21.0,84,MEDIUM,0.0,0.0,5,CALCINHA FIO DUPLO RENDA - 945,C1881,True,2020-03-01,2020-04-05,35,HIGH
2020-03-05,21988,FITNESS,commodity,FOREVER FITNESS,19.0,96,MEDIUM,0.0,0.0,5,BERMUDA MEIA COXA ESTAMPADA - F201,C669,True,2020-03-05,2020-04-04,30,HIGH
2020-03-09,15451,UNDERWARE,commodity,FEMINIS,20.0,96,MEDIUM,0.0,0.0,0,CAL BOMBOM RENDA - C116,C1808,True,2020-03-09,2020-04-03,25,HIGH
2020-03-13,17984,FITNESS,commodity,FOREVER FITNESS,26.0,84,MEDIUM,0.0,0.0,0,CALCA BASICA ESTAMPADA - 75,C40,True,2020-03-13,2020-04-12,30,HIGH
2020-03-14,16284,UNDERWARE,commodity,TRIFIL,22.0,84,MEDIUM,0.0,0.0,5,CALCINHA TRIFIL PROMO - TRF0001,C767,True,2020-03-14,2020-04-03,20,MEDIUM
2020-03-20,18195,UNDERWARE,commodity,JESCRI,28.0,84,MEDIUM,0.0,0.0,0,CALCA ALTA RENDA - JE0001,C1911,True,2020-03-20,2020-04-24,35,HIGH
2020-03-21,17983,FITNESS,commodity,FOREVER FITNESS,22.0,84,MEDIUM,0.0,0.0,0,CALCA BASICA ESTAMPADA - 75,C40,True,2020-03-21,2020-04-20,30,HIGH
2020-03-24,18007,FITNESS,commodity,FOREVER FITNESS,28.0,84,MEDIUM,0.0,0.0,0,CALCA BASICA ESTAMPADA - 75,C40,True,2020-03-24,2020-04-23,30,HIGH
2020-03-25,33954,FITNESS,commodity,FOREVER FITNESS,23.0,84,MEDIUM,0.0,0.0,0,TOP ESTAMPADO BASICO - 226,C1924,True,2020-03-25,2020-04-24,30,HIGH
2020-03-28,18008,FITNESS,commodity,FOREVER FITNESS,30.0,84,MEDIUM,0.0,0.0,0,CALCA BASICA ESTAMPADA - 75,C40,True,2020-03-28,2020-04-27,30,LOW
2020-04-01,30880,EROTICA,commodity,SEX SHOP,15.0,96,MEDIUM,0.33,31.68,0,RASPADINHA - SS0038,01.36.37,True,2020-04-01,2020-05-06,35,HIGH
