date,total_stock,total_sales_qty,total_sales_value,stockouts,receipts,alerts,slow_movers
2020-02-10,16720,62,2053.88,33,0,12,695
2020-02-11,16642,78,2371.85,46,0,11,711
2020-02-12,16588,54,1611.68,26,0,11,729
2020-02-13,16522,66,2141.65,37,0,14,745
2020-02-14,16461,61,1940.58,39,0,6,761
2020-02-15,16405,56,1865.18,24,0,15,779
2020-02-16,16343,62,2204.96,33,0,18,784
2020-02-17,16276,67,2173.69,34,0,17,795
2020-02-18,16227,49,1644.16,27,0,11,808
2020-02-19,16166,61,1991.02,30,0,12,826
2020-02-20,16103,63,2034.96,30,0,12,844
2020-02-21,16045,58,1843.78,33,0,12,859
2020-02-22,15991,54,1608.69,32,0,4,872
2020-02-23,15940,51,1745.76,31,0,7,887
2020-02-24,15883,57,1782.79,39,0,6,899
2020-02-25,15834,49,1534.54,21,0,10,904
2020-02-26,15772,62,2203.16,38,0,8,918
2020-02-27,15708,64,2350.92,32,0,13,923
2020-02-28,15649,59,1765.81,34,0,8,929
2020-02-29,15585,64,2234.86,39,0,10,945
2020-03-01,15523,62,2256.29,33,0,7,964
2020-03-02,15465,58,1702.64,30,0,10,977
2020-03-03,15418,47,1345.74,26,0,10,982
2020-03-04,15348,70,2248.11,36,0,12,994
2020-03-05,15299,49,1612.57,28,0,7,1018
2020-03-06,15251,48,1438.92,24,0,13,1035
2020-03-07,15189,62,1890.87,30,0,9,1046
2020-03-08,15140,49,1551.27,34,0,2,1067
2020-03-09,15100,40,1309.39,20,0,8,1080
2020-03-10,15048,52,1745.07,33,0,9,1090
2020-03-11,14995,53,2028.86,28,0,5,1102
2020-03-12,14939,56,1777.46,33,0,5,1117
2020-03-13,14891,48,1543.77,19,0,14,1118
2020-03-14,14831,60,2093.09,33,0,11,1117
2020-03-15,14775,56,1675.73,29,0,12,1124
2020-03-16,14733,42,1327.35,20,0,6,1130
2020-03-17,14680,53,1747.87,24,0,11,1137
2020-03-18,14615,65,2168.41,38,0,8,1145
2020-03-19,14558,57,1900.24,36,0,5,1155
2020-03-20,14506,52,1626.57,26,0,4,1158
2020-03-21,14460,46,1407.26,23,0,9,1163
2020-03-22,14409,51,1581.47,26,0,7,1176
2020-03-23,14366,43,1413.19,18,0,7,1173
2020-03-24,14320,46,1376.22,18,0,8,1175
2020-03-25,14270,50,1426.3,18,0,12,1174
2020-03-26,14228,42,1377.68,25,0,3,1179
2020-03-27,14172,56,1718.57,28,0,10,1187
2020-03-28,14123,49,1437.9,22,0,12,1193
2020-03-29,14061,62,1863.61,36,0,10,1204
2020-03-30,14002,59,1907.95,31,0,9,1205
2020-03-31,13953,49,1497.66,30,0,5,1211
2020-04-01,13910,43,1329.61,27,0,8,1225
2020-04-02,13868,42,1340.6,31,0,2,1228
2020-04-03,13807,61,1972.78,29,0,5,1224
2020-04-04,13759,48,1755.24,21,0,8,1223
2020-04-05,13715,44,1462.15,21,0,10,1233
2020-04-06,13655,60,1881.41,34,0,7,1232
2020-04-07,13608,47,1577.93,21,0,10,1240
2020-04-08,13565,43,1269.57,27,0,5,1241
2020-04-09,13530,35,1188.96,17,0,7,1253
2020-04-10,13486,44,1466.99,30,0,1,1260
2020-04-11,13439,47,1406.08,24,0,6,1265
2020-04-12,13390,49,1527.6,23,0,8,1266
2020-04-13,13354,36,1093.75,18,0,5,1269
2020-04-14,13306,48,1426.4,25,0,8,1264
2020-04-15,13267,39,1346.55,14,0,12,1275
2020-04-16,13228,39,1326.87,14,0,10,1280
2020-04-17,13187,41,1221.38,14,0,12,1290
2020-04-18,13142,45,1346.01,26,0,5,1282
2020-04-19,13100,42,1535.99,21,0,4,1281
2020-04-20,13062,38,1142.49,24,0,4,1292
2020-04-21,13020,42,1350.51,25,0,1,1296
2020-04-22,12959,61,2170.81,41,0,9,1284
2020-04-23,12914,45,1327.3,30,0,3,1284
2020-04-24,12863,51,1788.25,25,0,7,1276
2020-04-25,12814,49,1532.25,22,0,7,1277
2020-04-26,12767,47,1451.97,20,0,5,1275
2020-04-27,12711,56,1746.49,33,0,7,1278
2020-04-28,12662,49,1507.72,23,0,2,1272
2020-04-29,12628,34,1053.61,17,0,8,1275
2020-04-30,12577,51,1465.31,32,0,3,1269
2020-05-01,12541,36,1083.87,16,0,4,1265
2020-05-02,12491,50,1549.61,26,0,8,1261
2020-05-03,12457,34,1221.67,20,0,3,1263
2020-05-04,12419,38,1085.8,21,0,5,1267
2020-05-05,12377,42,1290.19,23,0,6,1269
2020-05-06,12347,30,1081.19,14,0,5,1280
2020-05-07,12302,45,1347.9,22,0,8,1273
2020-05-08,12263,39,1274.72,17,0,3,1270
2020-05-09,12215,48,1624.54,26,0,8,1260
2020-05-10,12170,45,1465.07,16,0,8,1254
2020-05-11,12132,38,1219.54,17,0,10,1253
2020-05-12,12090,42,1268.42,28,0,4,1256
2020-05-13,12048,42,1447.11,18,0,6,1260
2020-05-14,11999,49,1399.25,22,0,9,1270
2020-05-15,11958,41,1209.9,19,0,4,1265
2020-05-16,11914,44,1355.86,18,0,5,1264
2020-05-17,11873,41,1329.88,19,0,3,1265
2020-05-18,11832,41,1184.0,14,0,8,1262
2020-05-19,11792,40,1291.39,21,0,8,1259
2020-05-20,11757,35,1026.65,18,0,3,1261
2020-05-21,11716,41,1220.84,19,0,7,1262
2020-05-22,11675,41,1337.36,18,0,7,1264
2020-05-23,11637,38,1171.63,23,0,2,1259
2020-05-24,11596,41,1273.72,19,0,7,1265
2020-05-25,11561,35,995.91,21,0,5,1265
2020-05-26,11525,36,1107.29,19,0,2,1259
2020-05-27,11491,34,1112.4,17,0,4,1258
2020-05-28,11452,39,1440.06,22,0,4,1252
2020-05-29,11410,42,1491.31,16,0,5,1253
2020-05-30,11377,33,1142.45,16,0,1,1254
2020-05-31,11335,42,1389.08,17,0,7,1244
2020-06-01,11308,27,813.24,12,0,4,1242
2020-06-02,11269,39,1069.96,16,0,4,1249
2020-06-03,11235,34,1029.57,17,0,3,1245
2020-06-04,11207,28,938.78,14,0,4,1247
2020-06-05,11152,55,1976.94,21,0,5,1240
2020-06-06,11117,35,1077.71,14,0,3,1250
2020-06-07,11085,32,1143.36,11,0,6,1252
2020-06-08,11050,35,1116.47,13,0,6,1242
2020-06-09,11013,37,1114.7,21,0,4,1236
2020-06-10,10978,35,1113.91,19,0,4,1241
2020-06-11,10943,35,1053.87,15,0,4,1240
2020-06-12,10913,30,894.43,15,0,4,1236
2020-06-13,10881,32,913.32,10,0,5,1240
2020-06-14,10840,41,1283.8,21,0,3,1234
2020-06-15,10800,40,1508.19,18,0,5,1239
2020-06-16,10761,39,1385.28,22,0,3,1240
2020-06-17,10725,36,1159.35,20,0,2,1232
2020-06-18,10703,22,680.45,12,0,1,1235
2020-06-19,10666,37,1136.42,16,0,3,1228
2020-06-20,10626,40,1103.22,27,0,2,1219
2020-06-21,10588,38,1165.02,11,0,6,1210
2020-06-22,10553,35,1108.91,9,0,3,1199
2020-06-23,10516,37,1279.66,16,0,3,1195
2020-06-24,10490,26,791.23,11,0,2,1199
2020-06-25,10448,42,1397.78,21,0,4,1195
2020-06-26,10412,36,1197.94,15,0,2,1190
2020-06-27,10375,37,1116.24,19,0,5,1196
2020-06-28,10350,25,704.53,10,0,1,1191
2020-06-29,10321,29,802.09,15,0,2,1193
2020-06-30,10285,36,1205.82,16,0,6,1193
2020-07-01,10261,24,782.16,14,0,4,1199
2020-07-02,10227,34,1052.0,14,0,4,1197
2020-07-03,10202,25,677.85,8,0,4,1195
2020-07-04,10183,19,501.55,8,0,2,1203
2020-07-05,10160,23,683.68,9,0,3,1211
2020-07-06,10122,38,1129.48,22,0,1,1214
2020-07-07,10097,25,819.33,16,0,1,1225
2020-07-08,10053,44,1797.27,15,0,6,1239
2020-07-09,10014,39,1184.14,16,0,7,1238
2020-07-10,9986,28,1006.24,13,0,4,1240
2020-07-11,9958,28,886.96,13,0,1,1244
2020-07-12,9921,37,1139.94,15,0,1,1245
2020-07-13,9894,27,943.05,9,0,2,1250
2020-07-14,9865,29,853.98,15,0,4,1252
2020-07-15,9826,39,1269.54,25,0,3,1260
2020-07-16,9780,46,1521.94,26,0,2,1253
2020-07-17,9747,33,1078.49,14,0,4,1255
2020-07-18,9729,18,651.98,9,0,2,1267
2020-07-19,9711,18,490.06,11,0,0,1272
2020-07-20,9683,28,1073.52,15,0,2,1279
2020-07-21,9659,24,889.29,17,0,1,1290
2020-07-22,9623,36,1036.87,17,0,0,1294
2020-07-23,9593,30,962.57,14,0,3,1292
2020-07-24,9564,29,1050.87,15,0,2,1288
2020-07-25,9536,28,981.33,11,0,3,1286
2020-07-26,9513,23,719.09,12,0,2,1289
2020-07-27,9474,39,1229.24,18,0,5,1282
2020-07-28,9449,25,865.99,14,0,1,1283
2020-07-29,9411,38,1275.3,22,0,2,1267
2020-07-30,9376,35,1117.12,14,0,2,1260
2020-07-31,9350,26,736.35,11,0,0,1254
2020-08-01,9321,29,848.87,12,0,3,1243
2020-08-02,9292,29,854.01,15,0,1,1241
2020-08-03,9266,26,808.52,7,0,4,1236
2020-08-04,9244,22,675.6,14,0,1,1242
2020-08-05,9228,16,354.9,4,0,2,1242
2020-08-06,9199,29,900.84,21,0,1,1238
2020-08-07,9181,18,507.81,9,0,3,1243
2020-08-08,9162,19,603.35,9,0,0,1241
2020-08-09,9139,23,691.12,12,0,0,1236
2020-08-10,9106,33,1076.33,19,0,1,1230
2020-08-11,9088,18,584.18,11,0,2,1226
2020-08-12,9071,17,497.85,6,0,1,1228
2020-08-13,9054,17,542.93,7,0,2,1232
2020-08-14,9039,15,464.09,7,0,0,1238
2020-08-15,9016,23,729.33,8,0,1,1241
2020-08-16,8989,27,747.32,13,0,2,1238
2020-08-17,8957,32,1057.86,14,0,4,1223
2020-08-18,8922,35,1183.48,15,0,2,1211
2020-08-19,8905,17,576.95,9,0,1,1210
2020-08-20,8878,27,839.93,12,0,3,1210
2020-08-21,8849,29,924.41,14,0,4,1210
2020-08-22,8835,14,401.8,8,0,1,1218
2020-08-23,8807,28,639.56,9,0,2,1215
2020-08-24,8780,27,860.29,13,0,1,1209
2020-08-25,8757,23,827.86,10,0,1,1211
2020-08-26,8737,20,557.83,10,0,1,1209
2020-08-27,8706,31,1297.42,18,0,2,1204
2020-08-28,8684,22,686.5,11,0,3,1201
2020-08-29,8660,24,741.2,7,0,3,1205
2020-08-30,8638,22,681.29,11,0,1,1202
2020-08-31,8615,23,619.58,11,0,1,1199
2020-09-01,8588,27,864.59,10,0,2,1194
2020-09-02,8552,36,1063.34,18,0,2,1186
2020-09-03,8522,30,941.24,12,0,7,1181
2020-09-04,8495,27,997.14,11,0,3,1173
2020-09-05,8462,33,1228.23,13,0,1,1162
2020-09-06,8447,15,607.01,7,0,3,1169
2020-09-07,8428,19,618.83,9,0,0,1176
2020-09-08,8406,22,913.6,12,0,2,1167
2020-09-09,8381,25,787.6,8,0,3,1160
2020-09-10,8367,14,414.14,5,0,3,1159
2020-09-11,8341,26,860.94,14,0,3,1147
2020-09-12,8320,21,738.88,11,0,0,1146
2020-09-13,8300,20,607.13,6,0,3,1146
2020-09-14,8279,21,763.98,9,0,3,1145
2020-09-15,8250,29,835.04,16,0,0,1144
2020-09-16,8230,20,544.35,6,0,2,1137
2020-09-17,8214,16,503.17,11,0,0,1125
2020-09-18,8188,26,880.35,14,0,0,1116
2020-09-19,8158,30,947.76,10,0,1,1104
2020-09-20,8136,22,800.33,11,0,2,1102
2020-09-21,8117,19,636.3,8,0,1,1103
2020-09-22,8098,19,541.16,8,0,0,1097
2020-09-23,8079,19,655.28,7,0,0,1094
2020-09-24,8064,15,410.05,6,0,0,1094
2020-09-25,8031,33,1067.36,13,0,2,1086
2020-09-26,8008,23,666.31,10,0,1,1076
2020-09-27,7984,24,724.03,13,0,2,1073
2020-09-28,7959,25,751.63,9,0,3,1071
2020-09-29,7938,21,655.34,11,0,1,1069
2020-09-30,7918,20,545.06,10,0,0,1070
2020-10-01,7900,18,615.35,3,0,1,1074
2020-10-02,7882,18,690.95,10,0,0,1078
2020-10-03,7871,11,329.63,6,0,1,1081
2020-10-04,7855,16,475.12,7,0,2,1081
2020-10-05,7832,23,794.73,8,0,2,1075
2020-10-06,7810,22,588.58,9,0,1,1067
2020-10-07,7792,18,589.22,8,0,0,1058
2020-10-08,7763,29,944.98,17,0,0,1046
2020-10-09,7742,21,614.23,9,0,2,1041
2020-10-10,7724,18,535.77,7,0,0,1039
2020-10-11,7703,21,885.07,6,0,1,1032
2020-10-12,7686,17,507.27,6,0,1,1028
2020-10-13,7670,16,510.32,6,0,1,1022
2020-10-14,7646,24,684.04,14,0,1,1019
2020-10-15,7621,25,690.4,11,0,2,1013
2020-10-16,7604,17,511.03,9,0,1,1016
2020-10-17,7580,24,698.37,11,0,0,1013
2020-10-18,7560,20,634.62,7,0,1,1005
2020-10-19,7540,20,659.82,7,0,2,1004
2020-10-20,7515,25,765.82,11,0,0,994
2020-10-21,7492,23,731.37,7,0,0,985
2020-10-22,7466,26,814.33,12,0,4,979
2020-10-23,7439,27,848.1,8,0,0,971
2020-10-24,7421,18,619.41,7,0,0,967
2020-10-25,7402,19,640.84,9,0,3,964
2020-10-26,7377,25,790.47,14,0,2,958
2020-10-27,7359,18,487.7,4,0,1,950
2020-10-28,7341,18,640.55,5,0,1,950
2020-10-29,7321,20,605.55,9,0,0,944
2020-10-30,7299,22,682.16,10,0,0,941
2020-10-31,7280,19,603.1,5,0,1,939
2020-11-01,7264,16,447.99,9,0,1,937
2020-11-02,7242,22,1044.23,12,0,2,932
2020-11-03,7231,11,325.27,4,0,0,929
2020-11-04,7201,30,935.09,14,0,2,926
2020-11-05,7183,18,694.03,7,0,0,922
2020-11-06,7163,20,649.42,9,0,1,918
2020-11-07,7147,16,483.85,6,0,1,916
2020-11-08,7130,17,522.38,6,0,1,916
2020-11-09,7118,12,468.88,7,0,0,914
2020-11-10,7102,16,522.35,5,0,0,914
2020-11-11,7088,14,394.17,6,0,0,912
2020-11-12,7068,20,847.96,4,0,1,905
2020-11-13,7041,27,802.3,10,0,0,898
2020-11-14,7030,11,337.51,5,0,1,900
2020-11-15,7008,22,700.99,8,0,1,893
2020-11-16,6985,23,682.97,7,0,0,886
2020-11-17,6967,18,504.28,6,0,2,883
2020-11-18,6952,15,640.98,4,0,0,882
2020-11-19,6936,16,439.42,5,0,0,884
2020-11-20,6925,11,328.61,5,0,0,884
2020-11-21,6909,16,500.05,6,0,1,884
2020-11-22,6889,20,637.55,6,0,2,878
2020-11-23,6868,21,601.29,8,0,1,869
2020-11-24,6860,8,251.83,4,0,0,873
